"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0xa9da75c4329dd4e8dbd485b72e3cd4e4660ea9d8e248dd889126fb291ad3c37b","27386903","1681614413","2023-04-16 03:06:53","0x8dca20f8eaa739f058ed7bd402d839373e6c82e9","0xce96bb19c430d35f528ade2fcff213285ccd5377","2,346.555710518197466859","Multicall"
"0x65b867f65135b2f752c9323580cebae8223b2136100a2d71f92a9eb344382fb4","27389197","1681621313","2023-04-16 05:01:53","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x0000000000cc1ffb95df1486af6dacb26d6d1af0","1,209.044586256710901309","-"
"0x0e1cb83bbdc03a0fe67b54072ad3e48bb0db9de0466512abd3bfbb853e8ca33f","27389197","1681621313","2023-04-16 05:01:53","0xce96bb19c430d35f528ade2fcff213285ccd5377","0xfcc6941944e74d6c5177f02f7cbdd4596b2989ab","3,077.440271279182718699","Multicall"
"0x7ad3ee15969a44c62eec5ed5c25e9d268a5841aabb495c1db1359ccc4d48d56d","27389197","1681621313","2023-04-16 05:01:53","0x0000000000cc1ffb95df1486af6dacb26d6d1af0","0xce96bb19c430d35f528ade2fcff213285ccd5377","1,209.044586256710901309","-"
"0xc30ed317fe16665622822f0a5fb5c2d29b64337b61e2eecd88411396cbe3ca8d","27389423","1681621991","2023-04-16 05:13:11","0x0d0707963952f2fba59dd06f2b425ace40b492fe","0x055a3b37957bfbd3345bed9968e7e8dd56d67066","4,427.336","Transfer"
"0x6aad61b64c72bc047104cbd88ab7bd34e4664b644671edd98be2472b098cb9e5","27389423","1681621991","2023-04-16 05:13:11","0x055a3b37957bfbd3345bed9968e7e8dd56d67066","0xce96bb19c430d35f528ade2fcff213285ccd5377","4,427.335999999999999999","-"
"0x451bddab02d7fd91af5d24498df0303f1fa76596a7bb32ae368ec6ce1c365b89","27390642","1681625649","2023-04-16 06:14:09","0x0d0707963952f2fba59dd06f2b425ace40b492fe","0x055a3b37957bfbd3345bed9968e7e8dd56d67066","13,690.889","Transfer"
"0x0c96d1ea529e3c3a07035a00cd7d8af6269c04610b480fbfbf769e88bfef29b7","27390642","1681625649","2023-04-16 06:14:09","0x055a3b37957bfbd3345bed9968e7e8dd56d67066","0xce96bb19c430d35f528ade2fcff213285ccd5377","13,690.888999999999999999","-"
"0x111420822466d3579ac1e06830c3d3bc505dfc2a7a4c2c5d5d3e716f209b789f","27390643","1681625652","2023-04-16 06:14:12","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf","7,468.029664508134201695","-"
"0xb4592faa73f57e908e56ccd2b64c71dac754e0100c12a6d1d4d0671a47d1c53a","27390643","1681625652","2023-04-16 06:14:12","0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf","0x0000000000000000000000000000000000000000","7,468.029664508134201695","Swapout"
"0x351212cf17af9baa9a9441d1d02b167e80127e90231c2531ee2be2c7458af635","27391876","1681629356","2023-04-16 07:15:56","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x000000000091c4f781762b78ca44e68ff1ed84ae","1,121.002077812087847302","-"
"0xbb371c878dd1f6b02d469f403efaec6f38faabfd2446065b0be3de2e0b52953b","27391876","1681629356","2023-04-16 07:15:56","0xce96bb19c430d35f528ade2fcff213285ccd5377","0xfd74ffe6eb9d1b11c0efdec077492630abe0a100","4,762.9300675266925048","Multicall"
"0x60aacc76a9c0f592215fe8e4744d30b1a16cb5bbdd4cb071d8a2e6b91a04db71","27391876","1681629356","2023-04-16 07:15:56","0x000000000091c4f781762b78ca44e68ff1ed84ae","0xce96bb19c430d35f528ade2fcff213285ccd5377","1,121.002077812087847302","-"
"0xf64ec289cf318c5fb4f5cb5fe2ff278f827243b7427891b070bb17f649726943","27391901","1681629431","2023-04-16 07:17:11","0x0d0707963952f2fba59dd06f2b425ace40b492fe","0x055a3b37957bfbd3345bed9968e7e8dd56d67066","5,071.718","Transfer"
"0x15ddd25438221ddbcfa41d5ad35e50a64caf9ffb457a2f57c53737da5cade03d","27391901","1681629431","2023-04-16 07:17:11","0x055a3b37957bfbd3345bed9968e7e8dd56d67066","0xce96bb19c430d35f528ade2fcff213285ccd5377","5,071.717999999999999999","-"
"0xc7e933395a9277f6c59327102e650ec794c33d48d79c524a8b2b8895e2d86b56","27393136","1681633144","2023-04-16 08:19:04","0xce96bb19c430d35f528ade2fcff213285ccd5377","0xcab721d9c4c860b418c1aa082f6745d198d9ebb7","2,436.029750000000000059","-"
"0x6817d67c6dd77ae2d9ed806af066e7f8e4df17bfab61ebf03b39567da2bf204e","27393282","1681633590","2023-04-16 08:26:30","0xce96bb19c430d35f528ade2fcff213285ccd5377","0xcab721d9c4c860b418c1aa082f6745d198d9ebb7","1,512.273625000000000059","-"
"0x9c8119534a59a87757e5b88825c8219660d0da244166756096fb081cbd4f1685","27393336","1681633752","2023-04-16 08:29:12","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x000000000000d43e334f64e2ae7a8cf488f9ca91","1,229.916107474156170102","-"
"0xb2314def861c784cefd4372e116c6b6f7a4cb19e762dadff97206795928c009e","27393336","1681633752","2023-04-16 08:29:12","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x09a3bf35590488f178e2fa0ce855b10db28cd64c","10,674.983263288650230885","Swap Exact Tokens For Tokens"
"0xd434ee200edea2c643c8f0da8dafc1c15640fd05b695904a8d59182bd51bcba4","27393336","1681633752","2023-04-16 08:29:12","0x000000000000d43e334f64e2ae7a8cf488f9ca91","0xce96bb19c430d35f528ade2fcff213285ccd5377","1,229.916107474156170102","-"
"0xd68c72d56d105ef658935adea3faf01a3ae02a7c1953085ad35de4658b001ee7","27393342","1681633770","2023-04-16 08:29:30","0xce96bb19c430d35f528ade2fcff213285ccd5377","0xe68f84597ffacaa21cedfd2ba43f95ff6aade433","4,192.226312524206943988","Swap Exact Tokens For Tokens"
"0xe448d43cd0ad62e28f38f269a43b9b1b9ecf6b4813215c55734658dcf5739e89","27393415","1681633989","2023-04-16 08:33:09","0x0d0707963952f2fba59dd06f2b425ace40b492fe","0xf1ed84402eec11ce0c06716cb94be9a8a5e024af","10,645.983","Transfer"
"0xa4127502fb22cdeba9278d34d50888692e6926d8c52df24fa88ddd1eed94efb9","27393415","1681633989","2023-04-16 08:33:09","0xf1ed84402eec11ce0c06716cb94be9a8a5e024af","0xce96bb19c430d35f528ade2fcff213285ccd5377","10,645.983","Swap Exact Tokens For Tokens"
"0x6105eb5fd7d1eb852c67189176c900fcee387d2d9740d4e030f320acba2e1173","27393510","1681634277","2023-04-16 08:37:57","0x0000000000000000000000000000000000000000","0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9","15,709.454828361569069827","Swapin"
"0x0566d188a23f73ff91c279994add8e50c95d46fc1b8895dcd112a5c78c8b9968","27393511","1681634280","2023-04-16 08:38:00","0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9","0x0000000000000000000000000000000000000000","15,709.454828361569069827","Swapout"
"0xb6f000e18d9d560b9f1abb991d9aaf750a4ec5df47b1d8064fc5626328b1e712","27394956","1681638616","2023-04-16 09:50:16","0xfcc6941944e74d6c5177f02f7cbdd4596b2989ab","0xce96bb19c430d35f528ade2fcff213285ccd5377","3,077.440271279182718699","Multicall"
"0x09e284af1cbdcdcdeded1b5fc811e6eaf80f73459bbb2c90461a616a308bdf67","27395249","1681639495","2023-04-16 10:04:55","0xcab721d9c4c860b418c1aa082f6745d198d9ebb7","0x0d0707963952f2fba59dd06f2b425ace40b492fe","8,052.657659619739700177","Transfer"
"0x03460ca74c05ba652863287c617b79f7f4fcb9fe80f3ad82c104e7ce68edc00b","27395318","1681639702","2023-04-16 10:08:22","0x09a3bf35590488f178e2fa0ce855b10db28cd64c","0x0d0707963952f2fba59dd06f2b425ace40b492fe","42,189.395959669245097406","Transfer"
"0x9524bd788694502f7cfa25d80760eace236d2a039ae133d371081549bc836bea","27395391","1681639921","2023-04-16 10:12:01","0xe68f84597ffacaa21cedfd2ba43f95ff6aade433","0x0d0707963952f2fba59dd06f2b425ace40b492fe","21,210.765446013551013895","Transfer"
"0x7bb710cb770d42d1fedfcd8c8a11284cb48612f24914e566feff18e33111f297","27395448","1681640092","2023-04-16 10:14:52","0xd6c8fc05d64a314184fc6f35ac0840494687eaa0","0x0d0707963952f2fba59dd06f2b425ace40b492fe","24,986.615069599241918598","Transfer"
"0xa92b1cc2e7420b49101e27ee86538b93771d5820754f54cdda870afcdca46479","27395478","1681640182","2023-04-16 10:16:22","0x5f2d65e53b9fbd31975e24dad0824c7491fbb2f9","0x0d0707963952f2fba59dd06f2b425ace40b492fe","3,966.436883373159792385","Transfer"
"0x0f4889ee32bbe028b6da4d37ad44b4b9cf58749bc4d005ffc468240dc574731d","27395533","1681640347","2023-04-16 10:19:07","0xd08426f61f65699694abfa5e41784b1d423b4fd8","0x0d0707963952f2fba59dd06f2b425ace40b492fe","80,319.443492341919642783","Transfer"
"0x2596a45bf58ac46546b439904e3cbb74d253e97f3eaeac8acdb96d386d5b8445","27396558","1681643434","2023-04-16 11:10:34","0xce96bb19c430d35f528ade2fcff213285ccd5377","0xcab721d9c4c860b418c1aa082f6745d198d9ebb7","881.254124999999881259","-"
"0x0186e74f99ca941db63af4664bd53518fbcdbc9b98fd7836c214f0a9d0242323","27396956","1681644630","2023-04-16 11:30:30","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x1d5702c6d7eb30e42a8c94b8db7ea2e8444a37fd","1,337.154781106587391454","Swap"
"0x0186e74f99ca941db63af4664bd53518fbcdbc9b98fd7836c214f0a9d0242323","27396956","1681644630","2023-04-16 11:30:30","0x1d5702c6d7eb30e42a8c94b8db7ea2e8444a37fd","0x6131b5fae19ea4f9d964eac0408e4408b66337b5","1,337.154781106587391454","Swap"
"0x0186e74f99ca941db63af4664bd53518fbcdbc9b98fd7836c214f0a9d0242323","27396956","1681644630","2023-04-16 11:30:30","0x6131b5fae19ea4f9d964eac0408e4408b66337b5","0x97e33041bc4580e2e04831933830356f1cfdfdec","1,337.154781106587391454","Swap"
"0x4734afafafc4435f585511c6f22c47a932d6693beb64ac5836a214e6fc6efd21","27397460","1681646144","2023-04-16 11:55:44","0xb6d1bccbd44503acc3c042d0c831242d3fa359c5","0xce96bb19c430d35f528ade2fcff213285ccd5377","8,033.063684714422340014","Multicall"
"0xbfea6547a58bae3fc1966a5353a5e453973e7394f98d718afcbb150e429d0ad2","27397460","1681646144","2023-04-16 11:55:44","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x00000000004712b0169adce3dcf583fada3dc0e0","2,022.996067796930954334","-"
"0x04f7b1a5ca0ab07cb37ec684a5bb3359d9cbdf630e99b0372a9bb8bc65007a73","27398727","1681649946","2023-04-16 12:59:06","0x00000000004712b0169adce3dcf583fada3dc0e0","0xce96bb19c430d35f528ade2fcff213285ccd5377","2,022.996067796930954334","-"
"0xdbe97b1dd52e65fb7bfe0eeba4cb06ad2ce78d82318bf6056fd85f43dd65a297","27398727","1681649946","2023-04-16 12:59:06","0xf1ed84402eec11ce0c06716cb94be9a8a5e024af","0xce96bb19c430d35f528ade2fcff213285ccd5377","3,755.005","Multicall"
"0x3c670d96a8c5389e8a59792135fb621f16fb7f14f4fc4591f5c068967a0ff5a2","27398919","1681650522","2023-04-16 13:08:42","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x0000000000cc1ffb95df1486af6dacb26d6d1af0","1,116.479543009258233031","-"
"0xfe01131bf96d069376950535deca5faa420f1cdf11cb416220ce2398e7bcd0db","27398919","1681650522","2023-04-16 13:08:42","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x1ce8f1f45d27913d7f2a244b3a33a05798a91e2f","3,151.189307542562624143","Multicall"
"0x93de4d868bbe6339f6e798d231d0a4aff954f49470c910ecc361b56412b25565","27398919","1681650522","2023-04-16 13:08:42","0x0000000000cc1ffb95df1486af6dacb26d6d1af0","0xce96bb19c430d35f528ade2fcff213285ccd5377","1,116.479543009258233031","-"
"0xa271869602b42fff5379f3d230bd5befeed6cb6a9367d2b5446dbda482964b93","27398927","1681650546","2023-04-16 13:09:06","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x0000000000cc1ffb95df1486af6dacb26d6d1af0","1,116.724435121186831436","-"
"0xc0d9843eae5e00ae5632ba774d2ef1235a4270aebaeda91308947187433e8840","27398927","1681650546","2023-04-16 13:09:06","0xce96bb19c430d35f528ade2fcff213285ccd5377","0x1ce8f1f45d27913d7f2a244b3a33a05798a91e2f","3,110.979668117692025606","Multicall"
"0xd40c62f43cb1447da935367cdf2a4698ca1b3743c6e143ffdafdbbf22d496210","27398927","1681650546","2023-04-16 13:09:06","0x0000000000cc1ffb95df1486af6dacb26d6d1af0","0xce96bb19c430d35f528ade2fcff213285ccd5377","1,116.724435121186831436","-"
"0x94357acb8fa25b944de540a4ad334120f3440de0848ea969b5c743421b46d1a7","27400453","1681655127","2023-04-16 14:25:27","0x0d0707963952f2fba59dd06f2b425ace40b492fe","0x324ec7743a70212299ae82ad674f7547e6b4069d","1,257.9644","Transfer"
"0x865603ad0725aad85b994cb8ab7d2c8013be58d247167c14beb3a8ce5f734a19","27400453","1681655127","2023-04-16 14:25:27","0x324ec7743a70212299ae82ad674f7547e6b4069d","0xce96bb19c430d35f528ade2fcff213285ccd5377","1,257.964","Swap Exact Tokens For Tokens"
"0x21f9d77a852cffd2bc6129693ff42401335f897601ff0d6797dd7dbaed500cc1","27400707","1681655889","2023-04-16 14:38:09","0x0d0707963952f2fba59dd06f2b425ace40b492fe","0x055a3b37957bfbd3345bed9968e7e8dd56d67066","2,703.792","Transfer"
"0x4a79d30f0725ea3def59a8cf414e13cd23a321672e43eae6f74fffff04e8f0da","27400709","1681655895","2023-04-16 14:38:15","0x055a3b37957bfbd3345bed9968e7e8dd56d67066","0xce96bb19c430d35f528ade2fcff213285ccd5377","2,703.792000000000000004","-"
